epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.0564,1.78655,1.07876,1.22325,0.81191,0.69892,0.79213,0.35896,1.86886,1.04017,1.37877,0.000663121,0.000663121,0.000663121
2,28.7438,1.78521,1.11505,1.24208,0.8018,0.72312,0.7785,0.33467,1.89735,1.14327,1.38429,0.00106649,0.00106649,0.00106649
3,42.1022,1.81008,1.10945,1.26092,0.81487,0.70994,0.78851,0.37016,1.87203,1.04586,1.35355,0.00120586,0.00120586,0.00120586
4,55.3697,1.78872,1.08547,1.23219,0.798,0.76462,0.81963,0.35794,1.85026,1.07953,1.36589,0.000812,0.000812,0.000812
5,68.7465,1.77466,1.04813,1.24694,0.85965,0.75,0.84229,0.37459,1.83803,0.97701,1.35769,0.000416,0.000416,0.000416
