epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.0841,1.89896,1.20404,1.24655,0.83372,0.70161,0.78716,0.35864,1.8309,1.14568,1.32983,0.000663121,0.000663121,0.000663121
2,28.8939,1.91445,1.24445,1.2742,0.78738,0.70968,0.75888,0.34597,1.82864,1.15036,1.33672,0.00106649,0.00106649,0.00106649
3,42.3305,1.91498,1.22915,1.28498,0.7588,0.69344,0.76916,0.34226,1.88964,1.17458,1.33816,0.00120586,0.00120586,0.00120586
4,55.6906,1.863,1.17198,1.24187,0.75074,0.72581,0.79923,0.36591,1.79968,1.10853,1.32011,0.000812,0.000812,0.000812
5,69.0345,1.80462,1.11909,1.23546,0.82269,0.76882,0.84532,0.38369,1.82816,1.0276,1.32883,0.000416,0.000416,0.000416
