epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.2683,2.21633,2.07412,1.32341,0.71576,0.52419,0.61243,0.24828,1.98444,1.83721,1.39896,0.000663121,0.000663121,0.000663121
2,28.9,2.09184,1.59294,1.32321,0.70055,0.60374,0.65864,0.26959,1.89792,1.58057,1.32365,0.00106649,0.00106649,0.00106649
3,42.1446,2.0244,1.50174,1.31519,0.73579,0.60484,0.6901,0.28639,1.98494,1.33791,1.39527,0.00120586,0.00120586,0.00120586
4,55.3036,1.98926,1.32509,1.28945,0.80716,0.71774,0.79527,0.34178,1.87122,1.20487,1.34588,0.000812,0.000812,0.000812
5,68.6374,1.89151,1.24975,1.25786,0.84441,0.76344,0.83761,0.37505,1.81658,1.0755,1.31435,0.000416,0.000416,0.000416
