epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.8885,1.7813,1.04022,1.28996,0.83001,0.77151,0.82661,0.3674,1.8596,1.08772,1.34746,0.000663121,0.000663121,0.000663121
2,42.4472,1.84491,1.12196,1.3313,0.78919,0.73656,0.80053,0.34091,1.87822,1.10514,1.37877,0.00119814,0.00119814,0.00119814
3,55.5669,1.84545,1.1199,1.34147,0.84484,0.71719,0.83308,0.3826,1.84492,1.07024,1.34779,0.00160116,0.00160116,0.00160116
4,68.5837,1.8256,1.11406,1.31967,0.83136,0.75536,0.81946,0.35549,1.95369,1.05178,1.40632,0.001406,0.001406,0.001406
5,81.6292,1.80444,1.08858,1.31211,0.8512,0.69892,0.7916,0.34946,1.85587,1.08435,1.35437,0.001208,0.001208,0.001208
6,94.6984,1.78591,1.05156,1.31293,0.82936,0.75779,0.84785,0.37268,1.82392,1.0096,1.33901,0.00101,0.00101,0.00101
7,107.921,1.76672,1.03406,1.30422,0.84417,0.78763,0.85864,0.40541,1.75289,0.95883,1.29696,0.000812,0.000812,0.000812
8,121.283,1.74639,0.9948,1.27802,0.86463,0.78981,0.875,0.41215,1.72686,0.94138,1.29102,0.000614,0.000614,0.000614
9,134.857,1.71618,0.9639,1.25852,0.82961,0.7984,0.86224,0.42168,1.70636,0.93453,1.27923,0.000416,0.000416,0.000416
10,148.355,1.6806,0.94839,1.2606,0.85641,0.79032,0.87753,0.43761,1.67118,0.90407,1.26424,0.000218,0.000218,0.000218
