epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.761,3.02334,8.01827,1.03856,0.00118,0.35319,0.0765,0.02034,2.88416,4.87533,1.01365,0.000660194,0.000660194,0.000660194
2,30.5675,2.91936,5.01454,1.01473,0.49685,0.23404,0.21393,0.06212,2.75448,2.76707,0.9917,0.0011955,0.0011955,0.0011955
3,38.167,2.91401,3.99245,0.98808,0.48235,0.18298,0.16583,0.04743,2.79445,2.58298,0.98213,0.00159881,0.00159881,0.00159881
4,45.7122,2.77768,3.31046,0.97144,0.27936,0.21702,0.14633,0.04098,2.82906,2.57065,0.97123,0.001406,0.001406,0.001406
5,53.4087,2.84373,2.84322,0.96415,0.41879,0.26369,0.23763,0.06361,2.58364,1.88235,0.92533,0.001208,0.001208,0.001208
6,60.9773,2.70432,2.4131,0.93627,0.39837,0.30713,0.23871,0.07387,2.53777,1.78792,0.91588,0.00101,0.00101,0.00101
7,68.5578,2.51968,2.25337,0.91528,0.50742,0.28511,0.25594,0.07082,2.4568,1.87354,0.92052,0.000812,0.000812,0.000812
8,76.2364,2.5594,2.01493,0.915,0.50267,0.34839,0.33183,0.10684,2.37628,1.63985,0.90263,0.000614,0.000614,0.000614
9,83.7859,2.46908,1.92483,0.9107,0.38,0.31489,0.25383,0.06539,2.668,1.69475,0.92769,0.000416,0.000416,0.000416
10,91.4018,2.48993,1.79948,0.9115,0.53515,0.38298,0.36846,0.12959,2.23672,1.49934,0.89025,0.000218,0.000218,0.000218
