epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.0098,1.69471,1.04131,1.17326,0.85004,0.73142,0.81348,0.36668,1.84558,1.05772,1.33131,0.000663121,0.000663121,0.000663121
2,28.7088,1.6701,1.04172,1.1777,0.80002,0.77957,0.8145,0.36208,1.89154,1.03826,1.36129,0.00106649,0.00106649,0.00106649
3,42.0993,1.7087,1.03068,1.20951,0.82022,0.74812,0.82329,0.37055,1.9039,1.02166,1.36947,0.00120586,0.00120586,0.00120586
4,55.3406,1.74279,1.05725,1.18841,0.79203,0.72686,0.81181,0.38763,1.77584,1.02191,1.31237,0.000812,0.000812,0.000812
5,68.6505,1.74198,1.02898,1.21184,0.86054,0.72043,0.82213,0.37541,1.81164,0.98999,1.33116,0.000416,0.000416,0.000416
