epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.963,2.22,2.05502,1.32929,0.64578,0.63978,0.67348,0.26421,1.97835,1.5229,1.36518,0.000663121,0.000663121,0.000663121
2,28.6602,2.11458,1.57457,1.35103,0.64479,0.6002,0.6229,0.26891,1.90675,1.49874,1.38443,0.00106649,0.00106649,0.00106649
3,42.0211,2.04577,1.4421,1.33773,0.76146,0.65591,0.72436,0.30465,1.99832,1.34509,1.39669,0.00120586,0.00120586,0.00120586
4,55.2494,1.96381,1.28731,1.28471,0.76287,0.72581,0.77926,0.34563,1.82963,1.23494,1.31361,0.000812,0.000812,0.000812
5,68.5624,1.89523,1.22847,1.27591,0.83191,0.74503,0.8279,0.37008,1.81147,1.12844,1.30373,0.000416,0.000416,0.000416
