epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.3253,2.38347,1.72203,0.91485,0.51576,0.25382,0.27609,0.08322,2.54374,1.97362,0.9302,0.000660194,0.000660194,0.000660194
2,36.2016,2.50367,1.79063,0.92581,0.50601,0.28511,0.25535,0.07996,2.44994,1.93648,0.91878,0.0011955,0.0011955,0.0011955
3,43.8135,2.5339,1.80121,0.92665,0.28604,0.20851,0.18593,0.05121,2.6271,1.88916,0.94746,0.00159881,0.00159881,0.00159881
4,51.3793,2.51637,1.77116,0.92072,0.42774,0.25532,0.22017,0.05891,2.64398,1.78061,0.95161,0.001406,0.001406,0.001406
5,59.0015,2.59107,1.70409,0.91944,0.50264,0.36554,0.33982,0.1023,2.40553,1.65018,0.91863,0.001208,0.001208,0.001208
6,66.573,2.58745,1.77793,0.92291,0.53446,0.33191,0.32206,0.12315,2.38642,1.66974,0.9102,0.00101,0.00101,0.00101
7,74.2718,2.47826,1.70495,0.90809,0.60473,0.34894,0.36098,0.10992,2.36666,1.63368,0.90829,0.000812,0.000812,0.000812
8,81.8082,2.4661,1.57715,0.8959,0.53495,0.3234,0.32104,0.09911,2.50112,1.68186,0.91258,0.000614,0.000614,0.000614
9,89.3433,2.37915,1.51752,0.8935,0.44231,0.28511,0.25232,0.07799,2.54506,1.61195,0.90918,0.000416,0.000416,0.000416
10,96.9124,2.42119,1.45246,0.90015,0.56646,0.36596,0.37762,0.12441,2.37548,1.46048,0.88928,0.000218,0.000218,0.000218
