epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.0527,1.88382,1.22461,1.22234,0.85378,0.72043,0.80878,0.34636,1.8651,1.14597,1.3318,0.000663121,0.000663121,0.000663121
2,28.7888,1.92549,1.25801,1.24857,0.79961,0.69355,0.77115,0.34335,1.83746,1.2618,1.31899,0.00106649,0.00106649,0.00106649
3,42.201,1.88138,1.24009,1.26025,0.82971,0.73348,0.81119,0.37586,1.79698,1.12508,1.29798,0.00120586,0.00120586,0.00120586
4,55.4916,1.84402,1.15299,1.22933,0.79141,0.79032,0.83042,0.39074,1.74048,1.10492,1.27716,0.000812,0.000812,0.000812
5,68.7865,1.81683,1.10852,1.23174,0.81096,0.74731,0.82103,0.36982,1.82449,1.05621,1.30938,0.000416,0.000416,0.000416
