epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.9879,2.19018,2.03215,1.30556,0.65806,0.60215,0.64864,0.26402,2.11955,1.60835,1.44983,0.000663121,0.000663121,0.000663121
2,28.7591,2.13096,1.61724,1.31798,0.51147,0.55376,0.5251,0.193,2.0136,1.56329,1.33808,0.00106649,0.00106649,0.00106649
3,42.1548,2.05775,1.46728,1.33846,0.68862,0.63612,0.7072,0.30015,1.91842,1.38699,1.32369,0.00120586,0.00120586,0.00120586
4,55.4583,1.97338,1.32899,1.27536,0.79172,0.71528,0.77902,0.36349,1.87779,1.18588,1.3345,0.000812,0.000812,0.000812
5,68.7478,1.90298,1.22012,1.27079,0.84943,0.75269,0.82913,0.37442,1.82984,1.12219,1.29144,0.000416,0.000416,0.000416
