epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.5528,2.1254,1.24162,0.87547,0.48713,0.33617,0.32238,0.09738,2.56464,1.6249,0.9079,0.000660194,0.000660194,0.000660194
2,30.3089,2.19328,1.29514,0.88372,0.48111,0.34468,0.35462,0.11774,2.41385,1.72806,0.90583,0.0011955,0.0011955,0.0011955
3,37.9091,2.38882,1.35138,0.89679,0.5615,0.28511,0.31708,0.10454,2.39216,1.73114,0.90388,0.00159881,0.00159881,0.00159881
4,45.4325,2.25322,1.389,0.87873,0.32457,0.31064,0.22052,0.07215,2.66895,1.69656,0.92108,0.001406,0.001406,0.001406
5,52.979,2.36067,1.45667,0.88173,0.48803,0.35319,0.32014,0.0903,2.53574,1.75182,0.9095,0.001208,0.001208,0.001208
6,60.6588,2.40894,1.46356,0.88764,0.48628,0.38669,0.36632,0.11251,2.54045,1.54906,0.90663,0.00101,0.00101,0.00101
7,68.1573,2.35872,1.42028,0.87751,0.48587,0.34468,0.32247,0.11189,2.41511,1.6413,0.89566,0.000812,0.000812,0.000812
8,75.6719,2.23613,1.33958,0.87163,0.50845,0.32766,0.33446,0.11799,2.40744,1.52592,0.89733,0.000614,0.000614,0.000614
9,83.1936,2.23847,1.3694,0.8718,0.62924,0.28936,0.32316,0.10173,2.44115,1.42863,0.90593,0.000416,0.000416,0.000416
10,90.7074,2.29618,1.31591,0.88574,0.54426,0.37606,0.36711,0.11761,2.36493,1.40637,0.88684,0.000218,0.000218,0.000218
