epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.0802,1.66895,1.01639,1.14357,0.78487,0.77151,0.80701,0.35014,1.85587,1.04951,1.35473,0.000663121,0.000663121,0.000663121
2,28.7892,1.64192,1.01935,1.15034,0.77218,0.74194,0.7548,0.33468,1.88526,1.09961,1.36415,0.00106649,0.00106649,0.00106649
3,42.2051,1.69584,1.08531,1.17869,0.81008,0.75677,0.81482,0.37091,1.87294,1.07035,1.35264,0.00120586,0.00120586,0.00120586
4,55.4911,1.70166,1.04203,1.17269,0.82876,0.78063,0.82772,0.37805,1.80728,1.04661,1.31816,0.000812,0.000812,0.000812
5,68.8122,1.72889,1.03566,1.18963,0.83835,0.77688,0.82514,0.37064,1.83264,1.00589,1.30782,0.000416,0.000416,0.000416
