epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.9939,1.78914,1.12646,1.20903,0.77564,0.69086,0.77547,0.35574,1.85241,1.12912,1.33665,0.000663121,0.000663121,0.000663121
2,28.659,1.79382,1.13427,1.22679,0.83988,0.76139,0.83158,0.38973,1.79703,1.06413,1.33193,0.00106649,0.00106649,0.00106649
3,42.0422,1.80125,1.13363,1.24038,0.82147,0.71237,0.77833,0.36173,1.86209,1.06919,1.3405,0.00120586,0.00120586,0.00120586
4,55.3239,1.8065,1.10607,1.2124,0.76288,0.73656,0.79601,0.37011,1.78289,1.08257,1.29911,0.000812,0.000812,0.000812
5,68.5866,1.78208,1.08487,1.23159,0.83187,0.77143,0.81838,0.38082,1.82425,1.01659,1.33019,0.000416,0.000416,0.000416
