epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.0779,1.68175,1.01793,1.16353,0.85985,0.70918,0.80862,0.3723,1.84897,1.06346,1.36139,0.000663121,0.000663121,0.000663121
2,28.8535,1.66622,1.01534,1.1713,0.75609,0.70699,0.75281,0.33152,1.89555,1.15673,1.36988,0.00106649,0.00106649,0.00106649
3,42.3084,1.72146,1.03625,1.20967,0.83044,0.7043,0.79093,0.36284,1.88099,1.04885,1.35679,0.00120586,0.00120586,0.00120586
4,55.6433,1.73635,1.0484,1.19116,0.819,0.81183,0.84465,0.40074,1.76043,1.06945,1.31139,0.000812,0.000812,0.000812
5,68.987,1.73111,1.02565,1.21298,0.87317,0.77957,0.86023,0.39922,1.8179,0.95994,1.33982,0.000416,0.000416,0.000416
