epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.0416,1.87865,1.18844,1.2418,0.85939,0.72288,0.7986,0.35603,1.86858,1.125,1.33919,0.000663121,0.000663121,0.000663121
2,28.7517,1.8849,1.24186,1.25479,0.7891,0.71412,0.76788,0.31894,1.83133,1.16456,1.34063,0.00106649,0.00106649,0.00106649
3,42.1575,1.88192,1.21476,1.28526,0.77055,0.72581,0.77545,0.36646,1.78544,1.16086,1.33415,0.00120586,0.00120586,0.00120586
4,55.4365,1.84079,1.16306,1.23251,0.78441,0.76292,0.81881,0.40225,1.76133,1.07868,1.29132,0.000812,0.000812,0.000812
5,68.7504,1.79837,1.10357,1.23091,0.8529,0.73656,0.82909,0.3949,1.78424,1.00726,1.29037,0.000416,0.000416,0.000416
