epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.9385,1.66529,0.94833,1.24555,0.83924,0.7999,0.85792,0.39264,1.80073,0.98025,1.32979,0.000663121,0.000663121,0.000663121
2,42.4089,1.70929,1.00323,1.27217,0.84082,0.72418,0.8256,0.37925,1.85514,1.01569,1.36938,0.00119814,0.00119814,0.00119814
3,55.5564,1.73885,1.01801,1.28819,0.78434,0.75269,0.81126,0.37714,1.81228,1.10161,1.32942,0.00160116,0.00160116,0.00160116
4,68.64,1.74589,1.01986,1.27245,0.84809,0.74731,0.84384,0.38413,1.8639,0.96877,1.37419,0.001406,0.001406,0.001406
5,81.7217,1.71326,0.99672,1.27873,0.84356,0.76826,0.84127,0.38055,1.85565,1.01499,1.34001,0.001208,0.001208,0.001208
6,94.7309,1.71342,0.97204,1.27891,0.82132,0.76613,0.84121,0.39336,1.78628,0.9673,1.31324,0.00101,0.00101,0.00101
7,107.878,1.68575,0.98851,1.27062,0.80801,0.81456,0.85527,0.43945,1.7061,0.91983,1.28285,0.000812,0.000812,0.000812
8,121.261,1.66728,0.94438,1.24477,0.88305,0.78763,0.87631,0.43821,1.6947,0.88353,1.28988,0.000614,0.000614,0.000614
9,134.461,1.66851,0.91344,1.23328,0.82456,0.81989,0.87076,0.40749,1.7339,0.89907,1.27508,0.000416,0.000416,0.000416
10,147.474,1.65111,0.90121,1.24438,0.85404,0.81793,0.87899,0.43945,1.66028,0.85646,1.25691,0.000218,0.000218,0.000218
