epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.9997,1.75083,1.08101,1.18201,0.75096,0.75538,0.7486,0.33701,1.7942,1.11276,1.33322,0.000663121,0.000663121,0.000663121
2,28.7873,1.7696,1.12218,1.20469,0.81534,0.70699,0.78789,0.36285,1.82102,1.08002,1.33854,0.00106649,0.00106649,0.00106649
3,42.1594,1.77504,1.11799,1.23125,0.85208,0.72581,0.80814,0.38191,1.77579,1.06567,1.30897,0.00120586,0.00120586,0.00120586
4,55.4744,1.76572,1.0879,1.19247,0.79368,0.7549,0.81496,0.3825,1.76156,1.10726,1.28048,0.000812,0.000812,0.000812
5,68.7819,1.74534,1.05777,1.20386,0.81717,0.76893,0.84945,0.38171,1.81355,0.97844,1.30848,0.000416,0.000416,0.000416
