epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.9686,1.67574,1.02799,1.14873,0.80548,0.7458,0.80183,0.37347,1.83762,1.05442,1.33875,0.000663121,0.000663121,0.000663121
2,28.6837,1.66069,1.01752,1.14923,0.78742,0.73925,0.78224,0.34585,1.89891,1.10331,1.33777,0.00106649,0.00106649,0.00106649
3,42.0966,1.69336,1.04099,1.18288,0.80996,0.75269,0.80871,0.35424,1.9086,1.0196,1.35048,0.00120586,0.00120586,0.00120586
4,55.3707,1.70258,1.02111,1.1633,0.79682,0.80914,0.84445,0.39683,1.79749,0.98595,1.2919,0.000812,0.000812,0.000812
5,68.6467,1.7173,1.01179,1.19261,0.8283,0.77811,0.84535,0.40151,1.76701,0.96077,1.28045,0.000416,0.000416,0.000416
