epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.0111,1.65744,1.00949,1.14621,0.83695,0.71774,0.80352,0.36499,1.86191,1.02345,1.34633,0.000663121,0.000663121,0.000663121
2,28.7146,1.64693,1.0107,1.15228,0.79001,0.75538,0.79869,0.38073,1.80038,1.05538,1.32163,0.00106649,0.00106649,0.00106649
3,42.0828,1.68065,1.03715,1.18714,0.82577,0.7262,0.80466,0.37116,1.84063,1.03857,1.33073,0.00120586,0.00120586,0.00120586
4,55.3043,1.70542,1.01889,1.17209,0.78892,0.76882,0.83491,0.3828,1.77392,1.0611,1.31064,0.000812,0.000812,0.000812
5,68.6062,1.69454,1.00795,1.19037,0.80004,0.77419,0.84203,0.40666,1.73485,0.94937,1.29052,0.000416,0.000416,0.000416
