epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.9773,1.85101,1.16163,1.21711,0.80469,0.66667,0.74815,0.30164,1.89805,1.21308,1.29672,0.000663121,0.000663121,0.000663121
2,28.7126,1.86666,1.21802,1.22289,0.75594,0.65591,0.74283,0.30659,1.93028,1.24423,1.30763,0.00106649,0.00106649,0.00106649
3,42.2951,1.83113,1.17052,1.22329,0.80716,0.7043,0.79248,0.34329,1.86771,1.14085,1.27713,0.00120586,0.00120586,0.00120586
4,55.6293,1.84774,1.15822,1.21508,0.79712,0.75269,0.81722,0.35106,1.89987,1.09677,1.33163,0.000812,0.000812,0.000812
5,68.974,1.80169,1.11863,1.20824,0.87219,0.77049,0.85798,0.41538,1.71044,1.00217,1.24698,0.000416,0.000416,0.000416
1,15.032,1.88234,1.1949,1.24956,0.88995,0.71741,0.83031,0.35909,1.84511,1.09559,1.36242,0.000663121,0.000663121,0.000663121
2,28.7299,1.88003,1.21797,1.26062,0.82317,0.65591,0.75749,0.33029,1.89906,1.19963,1.32692,0.00106649,0.00106649,0.00106649
3,42.1239,1.87726,1.21119,1.2659,0.77993,0.73359,0.80065,0.35311,1.82157,1.08199,1.33607,0.00120586,0.00120586,0.00120586
4,55.4075,1.82941,1.11972,1.22753,0.7931,0.73164,0.81752,0.35755,1.82616,1.11126,1.31466,0.000812,0.000812,0.000812
5,68.6884,1.81786,1.10172,1.23975,0.84829,0.78159,0.86407,0.38631,1.84667,1.0087,1.3305,0.000416,0.000416,0.000416
