epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.0155,1.76171,1.08282,1.19503,0.82167,0.70161,0.79973,0.37039,1.79827,1.07532,1.32797,0.000663121,0.000663121,0.000663121
2,28.7088,1.77538,1.10382,1.21404,0.81576,0.73118,0.79388,0.3407,1.93723,1.12846,1.38158,0.00106649,0.00106649,0.00106649
3,42.164,1.82851,1.11348,1.24657,0.81127,0.72849,0.7908,0.35488,1.90578,1.04768,1.36835,0.00120586,0.00120586,0.00120586
4,55.4081,1.80176,1.09787,1.20901,0.8123,0.75617,0.82083,0.3763,1.77257,1.0593,1.30005,0.000812,0.000812,0.000812
5,68.7035,1.75951,1.06114,1.21857,0.86584,0.78072,0.85738,0.38664,1.8273,0.97776,1.33997,0.000416,0.000416,0.000416
