epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.9921,2.21579,2.0374,1.32613,0.68487,0.6371,0.6707,0.27142,2.00592,1.55129,1.38899,0.000663121,0.000663121,0.000663121
2,28.7025,2.10007,1.58372,1.33242,0.66094,0.65323,0.66442,0.27767,1.90469,1.38365,1.37463,0.00106649,0.00106649,0.00106649
3,42.0254,2.05104,1.45558,1.35572,0.68981,0.63978,0.68039,0.28628,1.95728,1.70747,1.41676,0.00120586,0.00120586,0.00120586
4,55.1389,1.96779,1.29759,1.29358,0.75744,0.72192,0.77428,0.35389,1.81229,1.17048,1.33373,0.000812,0.000812,0.000812
5,68.4096,1.8997,1.22139,1.27752,0.81994,0.72222,0.81913,0.34305,1.9008,1.11203,1.35904,0.000416,0.000416,0.000416
