epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.0362,1.68795,1.01046,1.19538,0.82534,0.70699,0.80295,0.35195,1.8936,1.07673,1.394,0.000663121,0.000663121,0.000663121
2,28.7836,1.68175,1.02337,1.20123,0.83144,0.73118,0.79515,0.3452,1.88845,1.08612,1.38696,0.00106649,0.00106649,0.00106649
3,42.2214,1.74976,1.05189,1.23784,0.81212,0.75538,0.79072,0.34862,1.87643,1.06967,1.37268,0.00120586,0.00120586,0.00120586
4,55.4398,1.71017,1.01669,1.20417,0.79311,0.75269,0.82259,0.3723,1.81663,1.01543,1.34609,0.000812,0.000812,0.000812
5,68.747,1.74054,1.00991,1.23344,0.86064,0.76366,0.84552,0.38671,1.81429,0.93956,1.35568,0.000416,0.000416,0.000416
