epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.001,1.87551,1.22561,1.22149,0.80289,0.73118,0.80696,0.36039,1.859,1.12028,1.35236,0.000663121,0.000663121,0.000663121
2,28.6532,1.88888,1.24814,1.25197,0.79859,0.71505,0.76164,0.31865,1.87771,1.22163,1.34241,0.00106649,0.00106649,0.00106649
3,42.0009,1.87493,1.23823,1.25573,0.76354,0.70311,0.75066,0.34658,1.87217,1.23758,1.31698,0.00120586,0.00120586,0.00120586
4,55.2868,1.8501,1.17284,1.22784,0.80015,0.74265,0.80628,0.36073,1.84817,1.12153,1.32289,0.000812,0.000812,0.000812
5,68.5486,1.81727,1.12184,1.23677,0.82852,0.75332,0.83539,0.37905,1.82204,1.02446,1.32582,0.000416,0.000416,0.000416
