epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.522,2.22956,1.37567,0.88825,0.53703,0.33191,0.32173,0.09267,2.62656,1.64874,0.92611,0.000660194,0.000660194,0.000660194
2,30.2676,2.33953,1.44393,0.90453,0.4868,0.33503,0.29753,0.0907,2.60256,1.70472,0.93949,0.0011955,0.0011955,0.0011955
3,37.8588,2.49194,1.54216,0.9103,0.49509,0.31915,0.31023,0.11465,2.39814,1.72341,0.89974,0.00159881,0.00159881,0.00159881
4,45.3777,2.38955,1.55705,0.8978,0.37058,0.22979,0.21873,0.07334,2.66403,1.84006,0.93868,0.001406,0.001406,0.001406
5,52.8899,2.46375,1.59476,0.90029,0.40643,0.33617,0.30055,0.10264,2.4796,1.78636,0.91354,0.001208,0.001208,0.001208
6,60.5892,2.49454,1.64097,0.91178,0.447,0.3234,0.28293,0.09278,2.43301,1.62386,0.89719,0.00101,0.00101,0.00101
7,68.1391,2.4268,1.56978,0.89724,0.49298,0.35319,0.30047,0.09632,2.50127,1.73304,0.91269,0.000812,0.000812,0.000812
8,75.6795,2.34047,1.47423,0.88376,0.49283,0.33617,0.30597,0.09938,2.37903,1.86415,0.90124,0.000614,0.000614,0.000614
9,83.1869,2.33077,1.41244,0.88456,0.44366,0.31489,0.29377,0.0948,2.40274,1.63789,0.89354,0.000416,0.000416,0.000416
10,90.7329,2.35167,1.3988,0.89245,0.51352,0.34894,0.34037,0.109,2.31798,1.73051,0.88399,0.000218,0.000218,0.000218
