epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.9828,1.76776,1.10171,1.18749,0.79003,0.74731,0.79456,0.35449,1.88207,1.08595,1.35546,0.000663121,0.000663121,0.000663121
2,28.6618,1.77336,1.13554,1.19331,0.79017,0.72312,0.77131,0.33244,1.86034,1.14738,1.298,0.00106649,0.00106649,0.00106649
3,42.0603,1.78717,1.11051,1.2325,0.82249,0.72242,0.80262,0.35369,1.92139,1.07869,1.36395,0.00120586,0.00120586,0.00120586
4,55.2848,1.78533,1.09238,1.20672,0.84556,0.77151,0.82982,0.37618,1.80666,1.07252,1.30225,0.000812,0.000812,0.000812
5,68.5456,1.76948,1.05844,1.21352,0.85036,0.78226,0.84859,0.4136,1.72699,0.97513,1.25777,0.000416,0.000416,0.000416
