epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.2641,2.17074,2.11649,1.38002,0.65366,0.57258,0.62462,0.24809,2.11187,1.73145,1.47375,0.000663121,0.000663121,0.000663121
2,44.4637,2.09977,1.59817,1.44882,0.72645,0.57824,0.66972,0.25796,2.09549,1.41895,1.49392,0.00119814,0.00119814,0.00119814
3,58.3598,2.05548,1.4201,1.43708,0.76461,0.65591,0.74139,0.3105,1.93583,1.20429,1.38688,0.00160116,0.00160116,0.00160116
4,71.8933,2.03504,1.32111,1.40539,0.82679,0.70574,0.76937,0.3361,1.94052,1.20134,1.40291,0.001406,0.001406,0.001406
5,85.5596,1.96492,1.22903,1.3869,0.84161,0.7043,0.80132,0.36489,1.81979,1.11944,1.33721,0.001208,0.001208,0.001208
6,98.7567,1.92011,1.19284,1.36821,0.82185,0.70686,0.79865,0.31809,1.95231,1.12304,1.40038,0.00101,0.00101,0.00101
7,112.196,1.92342,1.17841,1.37854,0.84704,0.77419,0.82987,0.3968,1.77714,1.0073,1.32391,0.000812,0.000812,0.000812
8,125.216,1.84133,1.10043,1.32396,0.81665,0.77825,0.83778,0.39586,1.78575,1.00372,1.32471,0.000614,0.000614,0.000614
9,138.279,1.81201,1.05683,1.29513,0.8815,0.77985,0.86602,0.40567,1.75097,0.98005,1.28807,0.000416,0.000416,0.000416
10,151.726,1.76495,1.01649,1.28947,0.86032,0.79032,0.85687,0.41881,1.71107,0.94698,1.2896,0.000218,0.000218,0.000218
