epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.0021,2.2081,2.03577,1.31291,0.74952,0.53763,0.61141,0.22626,2.15083,1.67141,1.57034,0.000663121,0.000663121,0.000663121
2,28.7646,2.11536,1.59891,1.34301,0.62273,0.57258,0.58677,0.23596,1.99428,1.66086,1.40443,0.00106649,0.00106649,0.00106649
3,42.2569,2.07791,1.48989,1.34368,0.79193,0.65481,0.73035,0.32495,1.92141,1.27411,1.38567,0.00120586,0.00120586,0.00120586
4,55.4715,2.00558,1.362,1.31997,0.80281,0.72043,0.81049,0.37937,1.77447,1.17899,1.31841,0.000812,0.000812,0.000812
5,68.7716,1.92798,1.2609,1.29022,0.84957,0.73925,0.82837,0.37206,1.79597,1.12373,1.31465,0.000416,0.000416,0.000416
