epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.5451,2.11963,1.24451,0.87352,0.44338,0.34043,0.30451,0.08561,2.5741,1.89171,0.91319,0.000660194,0.000660194,0.000660194
2,30.3553,2.2114,1.32402,0.8884,0.422,0.35745,0.30052,0.08814,2.42871,1.70914,0.89543,0.0011955,0.0011955,0.0011955
3,37.9687,2.29385,1.32387,0.88164,0.3708,0.31489,0.25774,0.08666,2.40152,1.67797,0.90216,0.00159881,0.00159881,0.00159881
4,45.4938,2.3275,1.39134,0.88516,0.51487,0.28936,0.30323,0.08994,2.68009,1.70643,0.93832,0.001406,0.001406,0.001406
5,53.0497,2.34677,1.43172,0.88721,0.35187,0.33617,0.27922,0.09508,2.32684,1.74847,0.88969,0.001208,0.001208,0.001208
6,60.7242,2.39053,1.48196,0.88882,0.52313,0.38298,0.37572,0.13633,2.29347,1.52113,0.88267,0.00101,0.00101,0.00101
7,68.2305,2.26325,1.3609,0.87175,0.48746,0.35319,0.33739,0.11562,2.31738,1.66542,0.89089,0.000812,0.000812,0.000812
8,75.7879,2.24929,1.35036,0.86719,0.53348,0.36496,0.35773,0.12184,2.42525,1.608,0.89955,0.000614,0.000614,0.000614
9,83.3428,2.22972,1.3449,0.87455,0.46904,0.31489,0.30465,0.09617,2.45812,1.62071,0.90117,0.000416,0.000416,0.000416
10,90.907,2.35444,1.33634,0.88961,0.52956,0.37021,0.34985,0.10996,2.39329,1.49415,0.88541,0.000218,0.000218,0.000218
