epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.0628,1.91711,1.24645,1.26012,0.84004,0.74819,0.82397,0.35986,1.84583,1.10045,1.35179,0.000663121,0.000663121,0.000663121
2,28.8213,1.93274,1.27923,1.29936,0.7866,0.69361,0.76852,0.33334,1.87195,1.19767,1.34754,0.00106649,0.00106649,0.00106649
3,42.3083,1.91029,1.24478,1.29756,0.80283,0.68957,0.76342,0.32197,1.90755,1.22566,1.37851,0.00120586,0.00120586,0.00120586
4,55.602,1.88734,1.17991,1.25613,0.82854,0.77151,0.83759,0.36855,1.82926,1.10047,1.32838,0.000812,0.000812,0.000812
5,68.9036,1.82908,1.13633,1.25126,0.8257,0.76406,0.82405,0.36058,1.86538,1.05938,1.34469,0.000416,0.000416,0.000416
