epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.985,2.21251,2.0575,1.32217,0.70153,0.62903,0.67405,0.27073,1.94853,1.53273,1.41005,0.000663121,0.000663121,0.000663121
2,28.7653,2.1175,1.59122,1.35218,0.77128,0.65266,0.74178,0.3173,1.99136,1.46652,1.42346,0.00106649,0.00106649,0.00106649
3,42.2108,2.07154,1.46367,1.37048,0.77832,0.68817,0.75074,0.31821,2.02832,1.34193,1.46171,0.00120586,0.00120586,0.00120586
4,55.5127,2.00128,1.3258,1.31118,0.81109,0.71237,0.77665,0.35252,1.88918,1.23362,1.38401,0.000812,0.000812,0.000812
5,68.8598,1.9201,1.22917,1.29459,0.822,0.72581,0.81489,0.35918,1.83269,1.11228,1.33548,0.000416,0.000416,0.000416
