epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.5651,2.41136,1.80161,0.90234,0.45383,0.27581,0.24746,0.0619,2.66029,1.74685,0.93201,0.000660194,0.000660194,0.000660194
2,30.3011,2.5794,1.86694,0.93261,0.57873,0.37021,0.34904,0.10086,2.53175,1.79172,0.91781,0.0011955,0.0011955,0.0011955
3,37.8807,2.55848,1.81086,0.92263,0.49188,0.2766,0.27666,0.08045,2.5479,1.67644,0.93429,0.00159881,0.00159881,0.00159881
4,45.4684,2.51349,1.74968,0.91104,0.41318,0.25106,0.20857,0.05944,2.81849,1.94627,0.93977,0.001406,0.001406,0.001406
5,52.9958,2.59898,1.8294,0.91272,0.42268,0.29362,0.2581,0.08595,2.37313,1.73991,0.90486,0.001208,0.001208,0.001208
6,60.6322,2.56017,1.78315,0.91201,0.56263,0.39574,0.41138,0.12509,2.42199,1.58319,0.89618,0.00101,0.00101,0.00101
7,68.2959,2.49092,1.71645,0.89944,0.55486,0.34468,0.33032,0.11179,2.37098,1.63097,0.89898,0.000812,0.000812,0.000812
8,75.8256,2.40917,1.5695,0.88788,0.48764,0.35745,0.34965,0.12722,2.29587,1.44736,0.89299,0.000614,0.000614,0.000614
9,83.3379,2.38662,1.50775,0.88753,0.49839,0.35319,0.33016,0.10186,2.40826,1.50315,0.89875,0.000416,0.000416,0.000416
10,90.8655,2.3854,1.43548,0.8976,0.50678,0.41277,0.37913,0.12259,2.30459,1.41067,0.89078,0.000218,0.000218,0.000218
