epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.0315,1.7504,1.09133,1.17766,0.82679,0.75538,0.82252,0.3704,1.86733,1.04316,1.36445,0.000663121,0.000663121,0.000663121
2,28.7304,1.76909,1.10502,1.19746,0.79319,0.73201,0.77651,0.33523,1.88206,1.09853,1.35373,0.00106649,0.00106649,0.00106649
3,42.1333,1.79344,1.13961,1.22983,0.76295,0.75271,0.78853,0.35628,1.86925,1.10568,1.36552,0.00120586,0.00120586,0.00120586
4,55.3872,1.78241,1.10936,1.20032,0.77951,0.75079,0.78606,0.36163,1.85785,1.10447,1.33812,0.000812,0.000812,0.000812
5,68.7365,1.76967,1.0763,1.21492,0.81911,0.76075,0.83112,0.36906,1.87048,1.00639,1.33724,0.000416,0.000416,0.000416
