epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.898,1.63803,0.97447,1.14353,0.85163,0.76613,0.82807,0.39583,1.80928,0.98568,1.30685,0.000663121,0.000663121,0.000663121
2,28.5432,1.65947,1.01082,1.14942,0.78814,0.72002,0.78835,0.35101,1.87066,1.07921,1.32634,0.00106649,0.00106649,0.00106649
3,41.8936,1.63815,0.97935,1.15468,0.76141,0.70968,0.786,0.33878,1.94938,1.09762,1.34361,0.00120586,0.00120586,0.00120586
4,55.1061,1.72534,1.01706,1.18092,0.84549,0.72079,0.81297,0.35053,1.91091,1.06665,1.336,0.000812,0.000812,0.000812
5,68.3061,1.69096,1.00889,1.18217,0.87043,0.77649,0.85026,0.41189,1.7165,0.97055,1.25313,0.000416,0.000416,0.000416
1,14.9999,1.6638,0.98579,1.16329,0.85041,0.77419,0.83987,0.37479,1.82546,1.00158,1.3346,0.000663121,0.000663121,0.000663121
2,28.7236,1.64094,1.01467,1.1621,0.79594,0.75494,0.79476,0.34183,1.89611,1.08696,1.3539,0.00106649,0.00106649,0.00106649
3,42.1805,1.67999,1.04686,1.18655,0.81141,0.76344,0.81349,0.3686,1.86463,1.03244,1.3528,0.00120586,0.00120586,0.00120586
4,55.446,1.71742,1.03043,1.17747,0.80779,0.76075,0.83719,0.38582,1.79734,1.02498,1.30443,0.000812,0.000812,0.000812
5,68.8021,1.7201,1.00451,1.19358,0.85092,0.81183,0.87183,0.40706,1.7923,0.92567,1.30934,0.000416,0.000416,0.000416
