epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.6212,2.16337,1.99248,1.30877,0.66937,0.6129,0.64728,0.26654,1.99118,1.48646,1.34144,0.000663121,0.000663121,0.000663121
2,31.6162,2.09314,1.54002,1.30625,0.65906,0.66667,0.69466,0.28118,1.85652,1.41605,1.30057,0.00106649,0.00106649,0.00106649
3,45.3232,2.00143,1.37823,1.28397,0.7922,0.68011,0.77111,0.34089,1.86788,1.23184,1.30973,0.00120586,0.00120586,0.00120586
4,58.7844,1.97758,1.30766,1.28143,0.7379,0.66667,0.72666,0.30574,2.00324,1.19008,1.37192,0.000812,0.000812,0.000812
5,72.4145,1.86638,1.23865,1.24932,0.81751,0.77419,0.8285,0.3579,1.84473,1.07613,1.30459,0.000416,0.000416,0.000416
1,20.0922,2.16337,1.99248,1.30877,0.66937,0.6129,0.64728,0.26654,1.99118,1.48646,1.34144,0.000663121,0.000663121,0.000663121
2,34.0361,2.09314,1.54002,1.30625,0.65906,0.66667,0.69466,0.28118,1.85652,1.41605,1.30057,0.00106649,0.00106649,0.00106649
3,47.7425,2.00143,1.37823,1.28397,0.7922,0.68011,0.77111,0.34089,1.86788,1.23184,1.30973,0.00120586,0.00120586,0.00120586
4,61.1222,1.97758,1.30766,1.28143,0.7379,0.66667,0.72666,0.30574,2.00324,1.19008,1.37192,0.000812,0.000812,0.000812
5,74.6135,1.86638,1.23865,1.24932,0.81751,0.77419,0.8285,0.3579,1.84473,1.07613,1.30459,0.000416,0.000416,0.000416
1,26.4334,2.17971,2.03124,1.29387,0.66935,0.62366,0.67564,0.27373,2.04244,1.59933,1.3911,0.000663121,0.000663121,0.000663121
2,40.1608,2.09477,1.57374,1.32022,0.68382,0.64785,0.68099,0.28446,1.94066,1.45902,1.42334,0.00106649,0.00106649,0.00106649
3,53.588,2.05059,1.45252,1.34659,0.7208,0.61022,0.65568,0.25273,2.001,1.34529,1.40173,0.00120586,0.00120586,0.00120586
4,66.9561,1.96133,1.29212,1.28619,0.75254,0.72312,0.8065,0.34434,1.83834,1.19578,1.31872,0.000812,0.000812,0.000812
5,80.2271,1.89401,1.21782,1.27827,0.82979,0.74462,0.82918,0.35971,1.83923,1.11456,1.32082,0.000416,0.000416,0.000416
