epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.1084,1.90408,1.20316,1.26476,0.79796,0.67473,0.74389,0.3388,1.91879,1.17244,1.40362,0.000663121,0.000663121,0.000663121
2,28.824,1.91968,1.24218,1.29256,0.71829,0.65054,0.71456,0.29253,1.93008,1.271,1.38382,0.00106649,0.00106649,0.00106649
3,42.2133,1.91858,1.20203,1.30887,0.75281,0.73656,0.76611,0.36122,1.87113,1.13177,1.36566,0.00120586,0.00120586,0.00120586
4,55.4976,1.86264,1.1517,1.26246,0.84825,0.74462,0.83689,0.36666,1.8667,1.08725,1.3618,0.000812,0.000812,0.000812
5,68.7691,1.8434,1.10065,1.26632,0.82084,0.80056,0.84931,0.37608,1.88211,1.00109,1.37889,0.000416,0.000416,0.000416
